"","concentration","time","sim"
"98",1.50293192704276e-13,925.402541993884,"Sim1"
"99",6.41595487880329e-14,930.612877478357,"Sim1"
"100",2.73894487608875e-14,935.82321296283,"Sim1"
"101",1.16924435660185e-14,941.033548447303,"Sim1"
"102",4.9914562990313e-15,946.243883931777,"Sim1"
"103",2.13083226311634e-15,951.45421941625,"Sim1"
"104",9.09643571239653e-16,956.664554900723,"Sim1"
"105",3.88323117225325e-16,961.874890385196,"Sim1"
"106",1.65773549266216e-16,967.085225869669,"Sim1"
"107",7.0768049640405e-17,972.295561354142,"Sim1"
"108",0.00011170966503239,977.505896838615,"Sim1"
"109",4.76883987543136e-05,982.716232323088,"Sim1"
"110",2.03579822309111e-05,987.926567807561,"Sim1"
"111",8.69073928544525e-06,993.136903292034,"Sim1"
"112",3.71004102817714e-06,998.347238776507,"Sim1"
"113",1.58380132905489e-06,1003.55757426098,"Sim1"
"114",6.76118304586108e-07,1008.76790974545,"Sim1"
"115",0.000111998297169112,1013.97824522993,"Sim1"
"116",4.78116146320564e-05,1019.1885807144,"Sim1"
"117",2.04105825847744e-05,1024.39891619887,"Sim1"
"118",8.71319416120668e-06,1029.60925168335,"Sim1"
"119",0.000115429291955087,1034.81958716782,"Sim1"
"120",4.92762922625025e-05,1040.02992265229,"Sim1"
"121",2.10358474700195e-05,1045.24025813676,"Sim1"
"122",8.98011718139467e-06,1050.45059362124,"Sim1"
"123",3.8335752674815e-06,1055.66092910571,"Sim1"
"124",1.63653759016577e-06,1060.87126459018,"Sim1"
"125",6.98631198595216e-07,1066.08160007466,"Sim1"
"126",2.98242799055504e-07,1071.29193555913,"Sim1"
"127",1.27318630154676e-07,1076.5022710436,"Sim1"
"128",5.43518020746791e-08,1081.71260652808,"Sim1"
"129",2.32025618338512e-08,1086.92294201255,"Sim1"
"130",9.90507867455775e-09,1092.13327749702,"Sim1"
"131",0.000111713893469902,1097.34361298149,"Sim1"
"132",4.769020385698e-05,1102.55394846597,"Sim1"
"133",2.03587528218508e-05,1107.76428395044,"Sim1"
"134",8.69106824756323e-06,1112.97461943491,"Sim1"
"135",3.71018146075881e-06,1118.18495491939,"Sim1"
"136",1.58386127914918e-06,1123.39529040386,"Sim1"
"137",6.76143897035976e-07,1128.60562588833,"Sim1"
"138",2.88643062064488e-07,1133.81596137281,"Sim1"
"139",1.23220541726683e-07,1139.02629685728,"Sim1"
"140",5.26023448989918e-08,1144.23663234175,"Sim1"
"141",2.24557257263973e-08,1149.44696782622,"Sim1"
"142",9.58625739722194e-09,1154.6573033107,"Sim1"
"143",4.09233404457581e-09,1159.86763879517,"Sim1"
"144",1.74700065296051e-09,1165.07797427964,"Sim1"
"145",7.45787427956847e-10,1170.28830976412,"Sim1"
"146",3.18373600350946e-10,1175.49864524859,"Sim1"
"147",1.35912386828662e-10,1180.70898073306,"Sim1"
"148",5.80204416229918e-11,1185.91931621754,"Sim1"
"149",2.47686890406158e-11,1191.12965170201,"Sim1"
"150",1.05736519686815e-11,1196.33998718648,"Sim1"
"151",4.51384874554601e-12,1201.55032267096,"Sim1"
"152",1.92694355346821e-12,1206.76065815543,"Sim1"
"153",8.22604315644507e-13,1211.9709936399,"Sim1"
"154",0.000111709665383526,1217.18132912437,"Sim1"
"155",0.000159398063936572,1222.39166460885,"Sim1"
"156",6.80463810492029e-05,1227.60200009332,"Sim1"
"157",0.000140758386576028,1232.81233557779,"Sim1"
"158",6.00891790795825e-05,1238.02267106227,"Sim1"
"159",2.5651824593115e-05,1243.23300654674,"Sim1"
"160",1.09506589212087e-05,1248.44334203121,"Sim1"
"161",4.67479147042172e-06,1253.65367751569,"Sim1"
"162",1.99564934394975e-06,1258.86401300016,"Sim1"
"163",8.51934536375757e-07,1264.07434848463,"Sim1"
"164",3.63687366455522e-07,1269.2846839691,"Sim1"
"165",1.55256648101204e-07,1274.49501945358,"Sim1"
"166",6.62784275806541e-08,1279.70535493805,"Sim1"
"167",2.82939894445006e-08,1284.91569042252,"Sim1"
"168",1.20785882814031e-08,1290.126025907,"Sim1"
"169",5.15629989746830e-09,1295.33636139147,"Sim1"
"170",2.20120332055421e-09,1300.54669687594,"Sim1"
"171",9.39684687618319e-10,1305.75703236042,"Sim1"
"172",4.01147546843614e-10,1310.96736784489,"Sim1"
"173",1.71248245777537e-10,1316.17770332936,"Sim1"
"174",7.31051751721573e-11,1321.38803881384,"Sim1"
"175",3.12083000481915e-11,1326.59837429831,"Sim1"
