"","df_conc","Q_05","Q_25","Q_50","Q_75","Q_95"
"54",0.0063,3.03696355286043e-09,7.52363082945351e-09,1.27214190848157e-08,2.17216038211898e-08,6.87518221853534e-08
"55",0.0064,3.27639980701733e-09,7.753644504227e-09,1.18631212076004e-08,2.16742906400391e-08,5.99190745464995e-08
"56",0.0065,3.40008679544646e-09,9.10661107633715e-09,1.62489498523044e-08,2.74807001876543e-08,5.92163226009745e-08
"57",0.0066,2.74944810252364e-09,8.44689612700122e-09,1.36597259059457e-08,2.56873474158148e-08,6.41971028780829e-08
"58",0.0067,3.90486193935224e-09,8.29515101052891e-09,1.44238195276536e-08,2.61707028270663e-08,7.02710639954862e-08
"59",0.0068,2.83753756047389e-09,7.33119018270223e-09,1.33646940181364e-08,2.63812030554256e-08,5.06221338514301e-08
"60",0.0069,1.53563841087667e-09,6.6380363428209e-09,1.29003544513395e-08,2.89620378235433e-08,7.44765573823525e-08
"61",0.007,3.56629166753386e-09,1.00729756202789e-08,1.72077836424478e-08,2.84574400155613e-08,7.54974546879339e-08
"62",0.0071,3.92513354041668e-09,8.67777122381952e-09,1.58771814584568e-08,2.99455786556546e-08,9.20383045222017e-08
"63",0.0072,3.49610901340114e-09,8.62316132388408e-09,1.34398498996546e-08,2.52729424332632e-08,8.91533084135254e-08
"64",0.0073,3.30489125510702e-09,7.16798706501542e-09,1.43513388950467e-08,2.60703254262307e-08,4.99613669546761e-08
"65",0.0074,2.02049538211568e-09,9.13582440253968e-09,1.84468003094906e-08,3.58685623702559e-08,6.99075546173322e-08
"66",0.0075,3.07380365049959e-09,8.58789089841494e-09,1.88509213239207e-08,3.94903611478092e-08,1.16353235818378e-07
"67",0.0076,3.39769672397239e-09,9.72054695069779e-09,1.61166519019318e-08,3.08271118076853e-08,8.56011596384043e-08
"68",0.0077,3.75078673120477e-09,7.62601856663103e-09,1.49728314746689e-08,2.81783188171847e-08,8.22914743348058e-08
"69",0.0078,3.47101347664136e-09,1.00154828597265e-08,1.75116851575119e-08,2.9021180653066e-08,1.01367765770188e-07
"70",0.0079,3.0409726237135e-09,8.68860788871828e-09,1.47400873728998e-08,2.63212304729699e-08,7.71850805547647e-08
"71",0.008,3.66587316058542e-09,1.00758933418987e-08,1.73691113158903e-08,3.00869980596197e-08,8.39846124811582e-08
"72",0.0081,4.4958881950663e-09,9.2593253619988e-09,1.61398808762314e-08,2.82365267834095e-08,6.77209577470972e-08
"73",0.0082,4.97541254307343e-09,9.24518578360178e-09,1.59312498193565e-08,3.22243124128985e-08,7.47689467617274e-08
"74",0.0083,4.8159477905596e-09,1.07922186187714e-08,1.51150101879161e-08,3.2512626840786e-08,7.5864443116469e-08
"75",0.0084,4.30524075278882e-09,1.01184809420118e-08,1.91515471259507e-08,3.46690003372174e-08,8.97096836260936e-08
"76",0.0085,4.16204378739238e-09,1.10531919450541e-08,1.96087510673237e-08,3.36895960018069e-08,8.80681729487076e-08
"77",0.0086,4.09003761969728e-09,1.02765075893352e-08,1.57416333856908e-08,3.10656097235462e-08,7.13295212562137e-08
"78",0.0087,2.58614911152755e-09,9.55449400152908e-09,1.94612533865879e-08,2.88444168550228e-08,6.62141777019176e-08
"79",0.0088,3.66479133151465e-09,1.08348132965563e-08,1.76295059661769e-08,3.80307930147872e-08,8.75406504063925e-08
"80",0.0089,4.07316512740508e-09,9.78839406751142e-09,1.95523965351718e-08,3.82554604938523e-08,9.47748343471666e-08
"81",0.009,3.283862154424e-09,8.95912111165131e-09,1.59357619877731e-08,3.72700365847134e-08,7.76678990621615e-08
"82",0.0091,2.728609388436e-09,9.58864654343472e-09,1.45185764521827e-08,2.72854701888203e-08,7.29611497884974e-08
"83",0.0092,3.57251679350412e-09,7.79842751486015e-09,1.87257642170202e-08,3.22676516895104e-08,7.31205754667119e-08
